tanggal_cuaca,suhu,kelembaban,kecepatan_angin,curah_hujan,radiasi_matahari
2020-01-13,26.891665,84.22512,14.186923,3.5000002,19.41
2020-01-14,26.452085,86.69138,8.669949,9.299999,13.63
2020-01-15,26.495834,88.41433,12.55879,5.9,20.11
2020-01-16,26.854166,87.19687,11.631956,5.4000006,22.35
2020-01-17,26.76458,84.67786,13.397612,3.1,17.77
2020-01-18,27.195833,83.77288,11.525623,4.5,21.93
2020-01-19,26.866667,87.44799,14.20062,12.599999,17.61
2020-01-20,26.664583,87.543175,9.422101,19.500006,15.58
2020-01-21,27.229166,87.35287,10.44,6.1999993,18.17
2020-01-22,27.343752,85.89545,9.085988,7.4,17.65
2020-01-23,26.46875,90.626434,7.8954163,19.7,12.36
2020-01-24,25.529165,93.83549,11.480557,37.2,8.11
2020-01-25,26.483335,88.84674,10.805999,12.3,19.13
2020-01-26,26.447914,89.513756,13.324863,12.8,19.36
2020-01-27,27.21667,86.44391,11.966954,10.799999,19.46
2020-01-28,27.285414,85.69033,13.746156,6.9999995,21.92
2020-01-29,27.435417,80.44492,12.397806,0.8000001,17.99
2020-01-30,26.199997,89.49972,9.983106,14.000001,9.76
2020-01-31,26.014582,90.01992,10.829959,23.300003,14.18
2020-02-01,26.045832,86.268394,13.797913,9.9,17.36
2020-02-02,26.049997,90.494354,11.298495,18.7,13.11
2020-02-03,26.143751,88.44949,8.78872,7.9999995,12.48
2020-02-04,26.625,86.3692,11.681987,8.799999,15.95
2020-02-05,25.777082,90.22828,13.779114,3.4999998,9.17
2020-02-06,25.927086,90.091095,13.513193,15.300001,15.3
2020-02-07,25.858335,86.33799,10.195057,11.200002,10.3
2020-02-08,26.012503,85.146126,14.044615,2.6999996,7.16
2020-02-09,27.17083,82.125305,11.090103,7.1,17.63
2020-02-10,26.793749,88.711494,10.661107,21.4,14.76
2020-02-11,26.889585,85.5254,11.183201,7.3,20.94
2020-02-12,26.393747,89.27982,9.83268,10.7,15.39
2020-02-13,26.358332,89.37638,10.853866,14.199999,13.33
2020-02-14,26.912498,87.735085,10.587918,8.400001,19.22
2020-02-15,25.887503,91.87873,17.0763,28.099998,12.04
2020-02-16,25.768751,91.76736,13.37825,19.0,8.92
2020-02-17,25.64583,90.852905,15.077082,11.1,14.08
2020-02-18,25.245832,90.2255,14.003029,13.299999,9.11
2020-02-19,25.654161,89.73832,13.746156,19.600002,13.75
2020-02-20,26.808332,84.02627,14.8257065,5.5999994,18.62
2020-02-21,26.964579,87.026184,14.039999,11.699999,19.93
2020-02-22,26.564583,88.611275,16.179987,23.199999,17.97
2020-02-23,26.504168,89.457306,16.09969,32.3,15.03
2020-02-24,26.1,89.89774,10.829958,11.6,8.99
2020-02-25,26.470833,89.36212,8.287822,6.3,11.98
2020-02-26,26.88125,88.11545,14.512064,12.700001,16.51
2020-02-27,26.581251,89.42551,15.072783,13.6,13.91
2020-02-28,26.752083,89.28408,13.830749,12.0,16.6
2020-02-29,26.487501,90.17069,14.982228,12.700002,13.08
2020-03-01,27.422918,83.94694,12.24,4.5999994,20.94
2020-03-02,27.44375,84.77225,12.594856,2.1000001,20.29
2020-03-03,26.756248,88.10308,14.8257065,15.799999,14.31
2020-03-04,26.158333,81.52122,12.594856,12.9,10.56
2020-03-05,27.65,79.52424,14.565548,1.1,22.91
2020-03-06,27.054169,83.56147,15.175612,1.4000001,16.55
2020-03-07,27.099998,84.922585,12.324414,7.1,16.96
2020-03-08,27.731249,77.158554,24.033876,1.8,22.28
2020-03-09,27.666666,77.9987,13.363711,7.2999997,20.92
2020-03-10,27.218752,87.21463,13.479583,10.0,19.78
2020-03-11,26.135416,90.94299,10.464798,29.099998,15.69
2020-03-12,27.277082,82.08692,12.245293,1.5000001,23.36
2020-03-13,27.489584,84.464294,8.669949,4.6,20.17
2020-03-14,27.002085,86.30442,9.779817,15.4,19.87
2020-03-15,26.156248,89.45138,13.441071,13.3,15.58
2020-03-16,26.768751,86.65213,9.83268,13.9,20.15
2020-03-17,25.608332,91.1445,11.753876,13.400001,10.56
2020-03-18,26.185417,91.28192,8.28,14.499999,14.25
2020-03-19,26.043755,90.057434,10.182337,33.699997,12.67
2020-03-20,26.714584,88.899506,14.007655,13.800001,18.67
2020-03-21,25.791666,90.2854,8.891343,13.200003,9.6
2020-03-22,26.539581,86.71424,10.799999,4.8,16.78
2020-03-23,26.44375,87.984764,10.1376915,5.7,16.2
2020-03-24,26.989584,85.80688,10.086427,3.2999997,20.84
2020-03-25,26.293753,90.378944,10.24578,14.3,14.16
2020-03-26,26.635414,87.94397,12.245294,14.700001,19.18
